x,y
10,541
11,541
12,541
13,541
14,541
15,542
16,542
17,542
18,543
19,543
20,543
21,544
22,544
23,545
24,545
25,545
26,545
27,546
28,547
29,547
30,548
31,548
32,549
33,549
34,550
35,550
36,551
37,551
38,551
39,551
40,551
41,551
42,551
43,551
44,551
45,551
46,551
47,550
48,550
49,549
50,548
51,548
52,548
53,547
65,537
66,536
67,535
68,534
69,532
70,531
71,531
72,531
